,url,title,release_year,genre,imdb_rating,runtime,age_rating,production_country,streaming_service,type
0,https://www.justwatch.com/in/movie/project-k, Kalki 2898-AD (2024),2024-01-01,"Drama, Fantasy, Science-Fiction, Mystery & Thriller, Action & Adventure",7.5,3h 1min,UA,India,"Amazon Prime Video , Amazon Prime Video , Netflix , Amazon Video , Bookmyshow",Movie
1,https://www.justwatch.com/in/movie/kill-2024, Kill (2024),2024-01-01,"Action & Adventure, Crime, Drama, Mystery & Thriller",7.6,1h 45min,A,India,,Movie
2,https://www.justwatch.com/in/movie/munjha, Munjya (2024),2024-01-01,"Comedy, Horror",7.1,2h 3min,A,India,Hotstar,Movie
3,https://www.justwatch.com/in/movie/maharaja-2024, Maharaja (2024),2024-01-01,"Action & Adventure, Crime, Drama, Mystery & Thriller",8.6,2h 30min,A,India,"Netflix , Bookmyshow",Movie
4,https://www.justwatch.com/in/movie/deadpool-3, Deadpool & Wolverine (2024),2024-01-01,"Comedy, Science-Fiction, Action & Adventure",8.0,2h 8min,A,United States,Bookmyshow,Movie
5,https://www.justwatch.com/in/movie/stree-2, Stree 2: Sarkate Ka Aatank (2024),2024-01-01,"Horror, Comedy",7.9,2h 27min,UA,India,Bookmyshow,Movie
7,https://www.justwatch.com/in/movie/chandu-champion, Chandu Champion (2024),2024-01-01,"Drama, History, Sport, War & Military, Action & Adventure",8.0,2h 22min,UA,India,"Amazon Prime Video , Amazon Prime Video , Bookmyshow",Movie
9,https://www.justwatch.com/in/movie/aadujeevitham, The Goat Life (2024),2024-01-01,Drama,7.8,2h 0min,UA,"United States, India",Netflix,Movie
12,https://www.justwatch.com/in/movie/dune-part-two, Dune: Part Two (2024),2024-01-01,"Science-Fiction, Action & Adventure, Drama",8.5,2h 47min,A,United States,"Apple TV , Jio Cinema , Amazon Video , Apple TV , Apple TV",Movie
16,https://www.justwatch.com/in/movie/aavesham-2024, Aavesham (2024),2024-01-01,"Comedy, Action & Adventure",7.9,2h 38min,UA,India,"Amazon Prime Video , Amazon Prime Video , Hotstar , Amazon Video",Movie
22,https://www.justwatch.com/in/movie/ullozhukku, Ullozhukku (2024),2024-01-01,Drama,7.6,2h 3min,U,India,"Amazon Prime Video , Amazon Prime Video , Amazon Video",Movie
25,https://www.justwatch.com/in/movie/furiosa, Furiosa: A Mad Max Saga (2024),2024-01-01,"Action & Adventure, Science-Fiction, Mystery & Thriller",7.6,2h 28min,A,"Australia, United States","Apple TV , Amazon Video , Apple TV , Apple TV",Movie
28,https://www.justwatch.com/in/movie/harom-hara, Harom Hara (2024),2024-01-01,"Action & Adventure, Crime, Drama",8.0,2h 34min,A,India,"Amazon Prime Video , Amazon Prime Video , Jio Cinema , aha",Movie
29,https://www.justwatch.com/in/movie/golam, Golam (2024),2024-01-01,Crime,7.3,2h 0min,UA,India,"Amazon Prime Video , Amazon Prime Video",Movie
38,https://www.justwatch.com/in/movie/aattam, Aattam (2024),2024-01-01,"Mystery & Thriller, Drama",8.2,2h 19min,UA,India,"Amazon Prime Video , Amazon Prime Video , Bookmyshow",Movie
